judet,an,nivel_educatie,numar_someri
BOTOSANI,2024,inv_profesional,769
BRAILA,2024,inv_profesional,502
BRASOV,2024,inv_profesional,419
BUZAU,2024,inv_profesional,1101
CALARASI,2024,inv_profesional,439
CARAS,2024,inv_profesional,370
CLUJ,2024,inv_profesional,690
CONSTANTA,2024,inv_profesional,436
COVASNA,2024,inv_profesional,248
DAMBOVITA,2024,inv_profesional,628
DOLJ,2024,inv_profesional,2056
GALATI,2024,inv_profesional,1112
GIURGIU,2024,inv_profesional,133
GORJ,2024,inv_profesional,989
HARGHITA,2024,inv_profesional,532
HUNEDOARA,2024,inv_profesional,1068
IALOMITA,2024,inv_profesional,591
IASI,2024,inv_profesional,2389
ILFOV,2024,inv_profesional,106
MARAMURES,2024,inv_profesional,705
MEHEDINTI,2024,inv_profesional,724
MUN. BUC.,2024,inv_profesional,1905
MURES,2024,inv_profesional,620
NEAMT,2024,inv_profesional,1739
OLT,2024,inv_profesional,1272
PRAHOVA,2024,inv_profesional,1365
SALAJ,2024,inv_profesional,557
SATU M.,2024,inv_profesional,368
SIBIU,2024,inv_profesional,569
SUCEAVA,2024,inv_profesional,1755
TELEORMAN,2024,inv_profesional,960
TIMIS,2024,inv_profesional,406
TULCEA,2024,inv_profesional,375
VALCEA,2024,inv_profesional,702
VASLUI,2024,inv_profesional,1502
VRANCEA,2024,inv_profesional,272
Total general,2024,inv_profesional,34807
ALBA,2019,inv_universitar,238
ARAD,2019,inv_universitar,185
ARGES,2019,inv_universitar,295
BACAU,2019,inv_universitar,2091
BIHOR,2019,inv_universitar,359
BISTRITA,2019,inv_universitar,408
BOTOSANI,2019,inv_universitar,188
BRAILA,2019,inv_universitar,161
BRASOV,2019,inv_universitar,275
BUZAU,2019,inv_universitar,129
CALARASI,2019,inv_universitar,54
CARAS,2019,inv_universitar,190
CLUJ,2019,inv_universitar,415
CONSTANTA,2019,inv_universitar,372
COVASNA,2019,inv_universitar,51
DAMBOVITA,2019,inv_universitar,227
DOLJ,2019,inv_universitar,374
GALATI,2019,inv_universitar,310
GIURGIU,2019,inv_universitar,70
GORJ,2019,inv_universitar,317
HARGHITA,2019,inv_universitar,167
HUNEDOARA,2019,inv_universitar,529
IALOMITA,2019,inv_universitar,69
IASI,2019,inv_universitar,296
ILFOV,2019,inv_universitar,72
MARAMURES,2019,inv_universitar,297
MEHEDINTI,2019,inv_universitar,81
MUN. BUC.,2019,inv_universitar,4316
MURES,2019,inv_universitar,167
NEAMT,2019,inv_universitar,335
OLT,2019,inv_universitar,69
PRAHOVA,2019,inv_universitar,405
SALAJ,2019,inv_universitar,192
SATU M.,2019,inv_universitar,85
SIBIU,2019,inv_universitar,325
SUCEAVA,2019,inv_universitar,813
TELEORMAN,2019,inv_universitar,104
TIMIS,2019,inv_universitar,395
TULCEA,2019,inv_universitar,58
VALCEA,2019,inv_universitar,336
VASLUI,2019,inv_universitar,75
VRANCEA,2019,inv_universitar,141
Total general,2019,inv_universitar,16036
ALBA ,2020,inv_universitar,400
ARAD,2020,inv_universitar,397
ARGES,2020,inv_universitar,586
BACAU,2020,inv_universitar,2066
BIHOR,2020,inv_universitar,618
BISTRITA,2020,inv_universitar,219
BOTOSANI,2020,inv_universitar,165
BRAILA,2020,inv_universitar,166
BRASOV,2020,inv_universitar,543
BUZAU,2020,inv_universitar,170
CALARASI,2020,inv_universitar,150
CARAS,2020,inv_universitar,235
CLUJ,2020,inv_universitar,695
CONSTANTA,2020,inv_universitar,536
COVASNA,2020,inv_universitar,88
DAMBOVITA,2020,inv_universitar,370
DOLJ,2020,inv_universitar,391
GALATI,2020,inv_universitar,410
GIURGIU,2020,inv_universitar,70
GORJ,2020,inv_universitar,363
HARGHITA,2020,inv_universitar,230
HUNEDOARA,2020,inv_universitar,585
IALOMITA,2020,inv_universitar,77
IASI,2020,inv_universitar,505
ILFOV,2020,inv_universitar,61
MARAMURES,2020,inv_universitar,364
MEHEDINTI,2020,inv_universitar,139
MUN. BUC.,2020,inv_universitar,4249
MURES,2020,inv_universitar,313
NEAMT,2020,inv_universitar,307
OLT,2020,inv_universitar,42
PRAHOVA,2020,inv_universitar,741
SALAJ,2020,inv_universitar,198
SATU M.,2020,inv_universitar,151
SIBIU,2020,inv_universitar,436
SUCEAVA,2020,inv_universitar,581
TELEORMAN,2020,inv_universitar,63
TIMIS,2020,inv_universitar,521
TULCEA,2020,inv_universitar,79
VALCEA,2020,inv_universitar,382
VASLUI,2020,inv_universitar,84
VRANCEA,2020,inv_universitar,170
Total general,2020,inv_universitar,18916
ALBA ,2024,inv_universitar,332
ARAD,2024,inv_universitar,219
ARGES,2024,inv_universitar,325
BACAU,2024,inv_universitar,217
BIHOR,2024,inv_universitar,293
BISTRITA,2024,inv_universitar,187
BOTOSANI,2024,inv_universitar,108
BRAILA,2024,inv_universitar,126
BRASOV,2024,inv_universitar,316
BUZAU,2024,inv_universitar,111
CALARASI,2024,inv_universitar,74
CARAS,2024,inv_universitar,168
CLUJ,2024,inv_universitar,399
CONSTANTA,2024,inv_universitar,248
COVASNA,2024,inv_universitar,50
DAMBOVITA,2024,inv_universitar,141
DOLJ,2024,inv_universitar,316
GALATI,2024,inv_universitar,246
GIURGIU,2024,inv_universitar,39
GORJ,2024,inv_universitar,230
HARGHITA,2024,inv_universitar,127
HUNEDOARA,2024,inv_universitar,573
IALOMITA,2024,inv_universitar,49
IASI,2024,inv_universitar,334
ILFOV,2024,inv_universitar,99
MARAMURES,2024,inv_universitar,251
MEHEDINTI,2024,inv_universitar,101
MUN. BUC.,2024,inv_universitar,2625
MURES,2024,inv_universitar,182
NEAMT,2024,inv_universitar,232
OLT,2024,inv_universitar,230
PRAHOVA,2024,inv_universitar,344
SALAJ,2024,inv_universitar,140
SATU M.,2024,inv_universitar,83
SIBIU,2024,inv_universitar,245
SUCEAVA,2024,inv_universitar,303
TELEORMAN,2024,inv_universitar,102
TIMIS,2024,inv_universitar,413
TULCEA,2024,inv_universitar,73
VALCEA,2024,inv_universitar,269
VASLUI,2024,inv_universitar,83
VRANCEA,2024,inv_universitar,79
Total general,2024,inv_universitar,11082
