judet,an,nivel_educatie,numar_someri
NEAMT,2019,inv_primar,1192
OLT,2019,inv_primar,802
PRAHOVA,2019,inv_primar,1214
SALAJ,2019,inv_primar,1264
SATU M.,2019,inv_primar,1613
SIBIU,2019,inv_primar,847
SUCEAVA,2019,inv_primar,2138
TELEORMAN,2019,inv_primar,1210
TIMIS,2019,inv_primar,168
TULCEA,2019,inv_primar,734
VALCEA,2019,inv_primar,480
VASLUI,2019,inv_primar,2050
VRANCEA,2019,inv_primar,1924
Total general,2019,inv_primar,51347
ALBA ,2020,inv_primar,514
ARAD,2020,inv_primar,320
ARGES,2020,inv_primar,1785
BACAU,2020,inv_primar,948
BIHOR,2020,inv_primar,606
BISTRITA,2020,inv_primar,188
BOTOSANI,2020,inv_primar,1042
BRAILA,2020,inv_primar,1077
BRASOV,2020,inv_primar,1117
BUZAU,2020,inv_primar,2335
CALARASI,2020,inv_primar,773
CARAS,2020,inv_primar,383
CLUJ,2020,inv_primar,566
CONSTANTA,2020,inv_primar,776
COVASNA,2020,inv_primar,1099
DAMBOVITA,2020,inv_primar,640
DOLJ,2020,inv_primar,6167
GALATI,2020,inv_primar,2015
GIURGIU,2020,inv_primar,285
GORJ,2020,inv_primar,211
HARGHITA,2020,inv_primar,1236
HUNEDOARA,2020,inv_primar,397
IALOMITA,2020,inv_primar,1014
IASI,2020,inv_primar,1580
ILFOV,2020,inv_primar,143
MARAMURES,2020,inv_primar,1209
MEHEDINTI,2020,inv_primar,1326
MUN. BUC.,2020,inv_primar,144
MURES,2020,inv_primar,1545
NEAMT,2020,inv_primar,1018
OLT,2020,inv_primar,736
PRAHOVA,2020,inv_primar,1072
SALAJ,2020,inv_primar,1131
SATU M.,2020,inv_primar,1691
SIBIU,2020,inv_primar,970
SUCEAVA,2020,inv_primar,1569
TELEORMAN,2020,inv_primar,974
TIMIS,2020,inv_primar,106
TULCEA,2020,inv_primar,433
VALCEA,2020,inv_primar,489
VASLUI,2020,inv_primar,1257
VRANCEA,2020,inv_primar,1255
Total general,2020,inv_primar,44142
ALBA ,2024,inv_primar,925
ARAD,2024,inv_primar,409
ARGES,2024,inv_primar,2300
BACAU,2024,inv_primar,1003
BIHOR,2024,inv_primar,1480
BISTRITA,2024,inv_primar,684
BOTOSANI,2024,inv_primar,835
BRAILA,2024,inv_primar,1142
BRASOV,2024,inv_primar,1932
BUZAU,2024,inv_primar,1755
CALARASI,2024,inv_primar,1143
CARAS,2024,inv_primar,469
CLUJ,2024,inv_primar,866
CONSTANTA,2024,inv_primar,1002
COVASNA,2024,inv_primar,1567
DAMBOVITA,2024,inv_primar,1359
DOLJ,2024,inv_primar,5472
GALATI,2024,inv_primar,2228
GIURGIU,2024,inv_primar,350
GORJ,2024,inv_primar,298
HARGHITA,2024,inv_primar,1667
HUNEDOARA,2024,inv_primar,1077
IALOMITA,2024,inv_primar,1015
IASI,2024,inv_primar,2261
ILFOV,2024,inv_primar,206
MARAMURES,2024,inv_primar,871
MEHEDINTI,2024,inv_primar,1205
MUN. BUC.,2024,inv_primar,52
MURES,2024,inv_primar,2465
NEAMT,2024,inv_primar,1479
OLT,2024,inv_primar,888
PRAHOVA,2024,inv_primar,1195
SALAJ,2024,inv_primar,1667
SATU M.,2024,inv_primar,2324
SIBIU,2024,inv_primar,2079
SUCEAVA,2024,inv_primar,3016
TELEORMAN,2024,inv_primar,1177
TIMIS,2024,inv_primar,280
TULCEA,2024,inv_primar,381
VALCEA,2024,inv_primar,100
VASLUI,2024,inv_primar,2128
VRANCEA,2024,inv_primar,668
Total general,2024,inv_primar,55420
ALBA,2019,inv_gimnazial,1461
ARAD,2019,inv_gimnazial,488
ARGES,2019,inv_gimnazial,2366
BACAU,2019,inv_gimnazial,3751
BIHOR,2019,inv_gimnazial,633
BISTRITA,2019,inv_gimnazial,1023
BOTOSANI,2019,inv_gimnazial,1029
BRAILA,2019,inv_gimnazial,1639
BRASOV,2019,inv_gimnazial,1459
BUZAU,2019,inv_gimnazial,3742
CALARASI,2019,inv_gimnazial,1061
CARAS,2019,inv_gimnazial,685
CLUJ,2019,inv_gimnazial,1018
CONSTANTA,2019,inv_gimnazial,1342
COVASNA,2019,inv_gimnazial,538
DAMBOVITA,2019,inv_gimnazial,1997
DOLJ,2019,inv_gimnazial,5062
GALATI,2019,inv_gimnazial,4378
GIURGIU,2019,inv_gimnazial,558
GORJ,2019,inv_gimnazial,1322
HARGHITA,2019,inv_gimnazial,913
HUNEDOARA,2019,inv_gimnazial,1568
IALOMITA,2019,inv_gimnazial,1496
IASI,2019,inv_gimnazial,2850
ILFOV,2019,inv_gimnazial,142
MARAMURES,2019,inv_gimnazial,988
MEHEDINTI,2019,inv_gimnazial,3165
MUN. BUC.,2019,inv_gimnazial,2632
MURES,2019,inv_gimnazial,1354
NEAMT,2019,inv_gimnazial,2353
OLT,2019,inv_gimnazial,2932
PRAHOVA,2019,inv_gimnazial,1780
SALAJ,2019,inv_gimnazial,1059
SATU M.,2019,inv_gimnazial,875
SIBIU,2019,inv_gimnazial,803
SUCEAVA,2019,inv_gimnazial,2950
TELEORMAN,2019,inv_gimnazial,5324
TIMIS,2019,inv_gimnazial,647
TULCEA,2019,inv_gimnazial,863
VALCEA,2019,inv_gimnazial,1296
VASLUI,2019,inv_gimnazial,3966
VRANCEA,2019,inv_gimnazial,1727
Total general,2019,inv_gimnazial,77235
ALBA ,2020,inv_gimnazial,1480
ARAD,2020,inv_gimnazial,975
ARGES,2020,inv_gimnazial,3020
BACAU,2020,inv_gimnazial,3500
BIHOR,2020,inv_gimnazial,1077
BISTRITA,2020,inv_gimnazial,1138
BOTOSANI,2020,inv_gimnazial,876
BRAILA,2020,inv_gimnazial,1557
BRASOV,2020,inv_gimnazial,1395
BUZAU,2020,inv_gimnazial,3804
CALARASI,2020,inv_gimnazial,1156
CARAS,2020,inv_gimnazial,775
CLUJ,2020,inv_gimnazial,1383
CONSTANTA,2020,inv_gimnazial,1249
COVASNA,2020,inv_gimnazial,820
DAMBOVITA,2020,inv_gimnazial,1903
DOLJ,2020,inv_gimnazial,4968
GALATI,2020,inv_gimnazial,4316
GIURGIU,2020,inv_gimnazial,712
GORJ,2020,inv_gimnazial,1278
HARGHITA,2020,inv_gimnazial,971
HUNEDOARA,2020,inv_gimnazial,1540
IALOMITA,2020,inv_gimnazial,1356
IASI,2020,inv_gimnazial,2847
ILFOV,2020,inv_gimnazial,126
MARAMURES,2020,inv_gimnazial,763
MEHEDINTI,2020,inv_gimnazial,2979
MUN. BUC.,2020,inv_gimnazial,2570
MURES,2020,inv_gimnazial,1227
NEAMT,2020,inv_gimnazial,2240
OLT,2020,inv_gimnazial,2773
PRAHOVA,2020,inv_gimnazial,2167
SALAJ,2020,inv_gimnazial,1228
SATU M.,2020,inv_gimnazial,1361
SIBIU,2020,inv_gimnazial,1115
SUCEAVA,2020,inv_gimnazial,3071
TELEORMAN,2020,inv_gimnazial,4618
TIMIS,2020,inv_gimnazial,759
TULCEA,2020,inv_gimnazial,1107
VALCEA,2020,inv_gimnazial,1428
VASLUI,2020,inv_gimnazial,2815
VRANCEA,2020,inv_gimnazial,1851
Total general,2020,inv_gimnazial,78294
ALBA ,2024,inv_gimnazial,1594
ARAD,2024,inv_gimnazial,879
ARGES,2024,inv_gimnazial,2727
BACAU,2024,inv_gimnazial,2128
BIHOR,2024,inv_gimnazial,1173
BISTRITA,2024,inv_gimnazial,1483
BOTOSANI,2024,inv_gimnazial,2034
BRAILA,2024,inv_gimnazial,1822
BRASOV,2024,inv_gimnazial,2492
BUZAU,2024,inv_gimnazial,2564
CALARASI,2024,inv_gimnazial,1530
CARAS,2024,inv_gimnazial,881
CLUJ,2024,inv_gimnazial,1175
CONSTANTA,2024,inv_gimnazial,1107
COVASNA,2024,inv_gimnazial,730
DAMBOVITA,2024,inv_gimnazial,1899
DOLJ,2024,inv_gimnazial,6998
GALATI,2024,inv_gimnazial,3817
GIURGIU,2024,inv_gimnazial,740
GORJ,2024,inv_gimnazial,1322
HARGHITA,2024,inv_gimnazial,1364
HUNEDOARA,2024,inv_gimnazial,2021
IALOMITA,2024,inv_gimnazial,1752
IASI,2024,inv_gimnazial,3553
ILFOV,2024,inv_gimnazial,263
MARAMURES,2024,inv_gimnazial,1159
MEHEDINTI,2024,inv_gimnazial,2933
MUN. BUC.,2024,inv_gimnazial,1577
MURES,2024,inv_gimnazial,1726
NEAMT,2024,inv_gimnazial,2902
OLT,2024,inv_gimnazial,3145
PRAHOVA,2024,inv_gimnazial,1909
SALAJ,2024,inv_gimnazial,1489
SATU M.,2024,inv_gimnazial,1724
SIBIU,2024,inv_gimnazial,1193
SUCEAVA,2024,inv_gimnazial,4476
TELEORMAN,2024,inv_gimnazial,5521
TIMIS,2024,inv_gimnazial,735
TULCEA,2024,inv_gimnazial,1181
VALCEA,2024,inv_gimnazial,469
VASLUI,2024,inv_gimnazial,4572
VRANCEA,2024,inv_gimnazial,918
Total general,2024,inv_gimnazial,85677
ALBA,2019,inv_liceal,953
ARAD,2019,inv_liceal,1252
ARGES,2019,inv_liceal,1336
BACAU,2019,inv_liceal,1076
BIHOR,2019,inv_liceal,890
BISTRITA,2019,inv_liceal,716
BOTOSANI,2019,inv_liceal,876
BRAILA,2019,inv_liceal,459
BRASOV,2019,inv_liceal,1063
BUZAU,2019,inv_liceal,1689
CALARASI,2019,inv_liceal,609
CARAS,2019,inv_liceal,991
CLUJ,2019,inv_liceal,939
CONSTANTA,2019,inv_liceal,1545
COVASNA,2019,inv_liceal,572
DAMBOVITA,2019,inv_liceal,1854
DOLJ,2019,inv_liceal,4058
GALATI,2019,inv_liceal,1428
GIURGIU,2019,inv_liceal,619
GORJ,2019,inv_liceal,1602
HARGHITA,2019,inv_liceal,1024
HUNEDOARA,2019,inv_liceal,1418
IALOMITA,2019,inv_liceal,758
IASI,2019,inv_liceal,1050
ILFOV,2019,inv_liceal,217
MARAMURES,2019,inv_liceal,1436
MEHEDINTI,2019,inv_liceal,997
MUN. BUC.,2019,inv_liceal,5341
MURES,2019,inv_liceal,639
NEAMT,2019,inv_liceal,1031
OLT,2019,inv_liceal,1785
PRAHOVA,2019,inv_liceal,1296
SALAJ,2019,inv_liceal,831
SATU M.,2019,inv_liceal,225
SIBIU,2019,inv_liceal,461
SUCEAVA,2019,inv_liceal,2952
TELEORMAN,2019,inv_liceal,1372
TIMIS,2019,inv_liceal,801
TULCEA,2019,inv_liceal,554
VALCEA,2019,inv_liceal,1732
VASLUI,2019,inv_liceal,994
VRANCEA,2019,inv_liceal,1018
Total general,2019,inv_liceal,52459
ALBA ,2020,inv_liceal,1673
ARAD,2020,inv_liceal,1734
ARGES,2020,inv_liceal,2420
BACAU,2020,inv_liceal,1141
BIHOR,2020,inv_liceal,1801
BISTRITA,2020,inv_liceal,1316
BOTOSANI,2020,inv_liceal,1038
BRAILA,2020,inv_liceal,515
BRASOV,2020,inv_liceal,1415
BUZAU,2020,inv_liceal,1849
CALARASI,2020,inv_liceal,805
CARAS,2020,inv_liceal,1263
CLUJ,2020,inv_liceal,1611
CONSTANTA,2020,inv_liceal,2778
COVASNA,2020,inv_liceal,828
DAMBOVITA,2020,inv_liceal,1568
DOLJ,2020,inv_liceal,4301
GALATI,2020,inv_liceal,1995
GIURGIU,2020,inv_liceal,721
GORJ,2020,inv_liceal,1886
HARGHITA,2020,inv_liceal,1388
HUNEDOARA,2020,inv_liceal,2295
IALOMITA,2020,inv_liceal,949
IASI,2020,inv_liceal,1108
ILFOV,2020,inv_liceal,342
MARAMURES,2020,inv_liceal,2031
MEHEDINTI,2020,inv_liceal,1286
MUN. BUC.,2020,inv_liceal,5161
MURES,2020,inv_liceal,1340
NEAMT,2020,inv_liceal,1544
OLT,2020,inv_liceal,2191
PRAHOVA,2020,inv_liceal,2418
SALAJ,2020,inv_liceal,1520
SATU M.,2020,inv_liceal,588
SIBIU,2020,inv_liceal,1263
SUCEAVA,2020,inv_liceal,3489
TELEORMAN,2020,inv_liceal,1330
TIMIS,2020,inv_liceal,1396
TULCEA,2020,inv_liceal,757
VALCEA,2020,inv_liceal,2215
VASLUI,2020,inv_liceal,1112
VRANCEA,2020,inv_liceal,1215
Total general,2020,inv_liceal,69596
ALBA ,2024,inv_liceal,950
ARAD,2024,inv_liceal,437
ARGES,2024,inv_liceal,1010
BACAU,2024,inv_liceal,628
BIHOR,2024,inv_liceal,607
BISTRITA,2024,inv_liceal,953
BOTOSANI,2024,inv_liceal,727
BRAILA,2024,inv_liceal,370
BRASOV,2024,inv_liceal,518
BUZAU,2024,inv_liceal,744
CALARASI,2024,inv_liceal,558
CARAS,2024,inv_liceal,624
CLUJ,2024,inv_liceal,632
CONSTANTA,2024,inv_liceal,714
COVASNA,2024,inv_liceal,405
DAMBOVITA,2024,inv_liceal,766
DOLJ,2024,inv_liceal,2582
GALATI,2024,inv_liceal,745
GIURGIU,2024,inv_liceal,394
GORJ,2024,inv_liceal,1115
HARGHITA,2024,inv_liceal,671
HUNEDOARA,2024,inv_liceal,1936
IALOMITA,2024,inv_liceal,486
IASI,2024,inv_liceal,821
ILFOV,2024,inv_liceal,149
MARAMURES,2024,inv_liceal,710
MEHEDINTI,2024,inv_liceal,1023
MUN. BUC.,2024,inv_liceal,3592
MURES,2024,inv_liceal,669
NEAMT,2024,inv_liceal,900
