judet,an,gen,rata
BISTRITA NASAUD,2019,rata_somaj_femei,2.81
BOTOSANI,2019,rata_somaj_femei,2.81
BRAILA,2019,rata_somaj_femei,2.81
BRASOV,2019,rata_somaj_femei,2.81
BUZAU,2019,rata_somaj_femei,2.81
CALARASI,2019,rata_somaj_femei,2.81
CARA?-SEVERIN,2019,rata_somaj_femei,2.81
CLUJ,2019,rata_somaj_femei,2.81
CONSTANTA,2019,rata_somaj_femei,2.81
COVASNA,2019,rata_somaj_femei,2.81
DAMBOVITA,2019,rata_somaj_femei,2.81
DOLJ,2019,rata_somaj_femei,2.81
GALATI,2019,rata_somaj_femei,2.81
GIURGIU,2019,rata_somaj_femei,2.81
GORJ,2019,rata_somaj_femei,2.81
HARGHITA,2019,rata_somaj_femei,2.81
HUNEDOARA,2019,rata_somaj_femei,2.81
IALOMITA,2019,rata_somaj_femei,2.81
IASI,2019,rata_somaj_femei,2.81
ILFOV,2019,rata_somaj_femei,2.81
MARAMURES,2019,rata_somaj_femei,2.81
MEHEDINTI,2019,rata_somaj_femei,2.81
MUN. BUC.,2019,rata_somaj_femei,2.81
MURES,2019,rata_somaj_femei,2.81
NEAMT,2019,rata_somaj_femei,2.81
OLT,2019,rata_somaj_femei,2.81
PRAHOVA,2019,rata_somaj_femei,2.81
SALAJ,2019,rata_somaj_femei,2.81
SATU MARE,2019,rata_somaj_femei,2.81
SIBIU,2019,rata_somaj_femei,2.81
SUCEAVA,2019,rata_somaj_femei,2.81
TELEORMAN,2019,rata_somaj_femei,2.81
TIMIS,2019,rata_somaj_femei,2.81
TULCEA,2019,rata_somaj_femei,2.81
VALCEA,2019,rata_somaj_femei,2.81
VASLUI,2019,rata_somaj_femei,2.81
VRANCEA,2019,rata_somaj_femei,2.81
Total,2019,rata_somaj_femei,2.81
ALBA ,2020,rata_somaj_femei,3.53
ARAD,2020,rata_somaj_femei,2.7
ARGES,2020,rata_somaj_femei,4.45
BACAU,2020,rata_somaj_femei,5.08
BIHOR,2020,rata_somaj_femei,2.55
BISTRITA NASAUD,2020,rata_somaj_femei,3.75
BOTOSANI,2020,rata_somaj_femei,3.02
BRAILA,2020,rata_somaj_femei,3.67
BRASOV,2020,rata_somaj_femei,2.79
BUZAU,2020,rata_somaj_femei,6.52
CALARASI,2020,rata_somaj_femei,4.36
CARA?-SEVERIN,2020,rata_somaj_femei,3.81
CLUJ,2020,rata_somaj_femei,2.2
CONSTANTA,2020,rata_somaj_femei,2.99
COVASNA,2020,rata_somaj_femei,4.94
DAMBOVITA,2020,rata_somaj_femei,3.65
DOLJ,2020,rata_somaj_femei,7.07
GALATI,2020,rata_somaj_femei,6.07
GIURGIU,2020,rata_somaj_femei,3.2
GORJ,2020,rata_somaj_femei,4.04
HARGHITA,2020,rata_somaj_femei,4.74
HUNEDOARA,2020,rata_somaj_femei,4.5
IALOMITA,2020,rata_somaj_femei,4.78
IASI,2020,rata_somaj_femei,3.16
ILFOV,2020,rata_somaj_femei,0.57
MARAMURES,2020,rata_somaj_femei,2.84
MEHEDINTI,2020,rata_somaj_femei,6.25
MUN. BUC.,2020,rata_somaj_femei,1.38
MURES,2020,rata_somaj_femei,2.89
NEAMT,2020,rata_somaj_femei,4.61
OLT,2020,rata_somaj_femei,5.74
PRAHOVA,2020,rata_somaj_femei,3.84
SALAJ,2020,rata_somaj_femei,5.18
SATU MARE,2020,rata_somaj_femei,3.4
SIBIU,2020,rata_somaj_femei,3.0
SUCEAVA,2020,rata_somaj_femei,5.26
TELEORMAN,2020,rata_somaj_femei,5.7
TIMIS,2020,rata_somaj_femei,1.36
TULCEA,2020,rata_somaj_femei,3.73
VALCEA,2020,rata_somaj_femei,4.23
VASLUI,2020,rata_somaj_femei,5.28
VRANCEA,2020,rata_somaj_femei,3.95
Total ,2020,rata_somaj_femei,3.49
ALBA ,2024,rata_somaj_femei,3.55
ARAD,2024,rata_somaj_femei,1.9
ARGES,2024,rata_somaj_femei,3.51
BACAU,2024,rata_somaj_femei,2.93
BIHOR,2024,rata_somaj_femei,2.26
BISTRITA NASAUD,2024,rata_somaj_femei,4.34
BOTOSANI,2024,rata_somaj_femei,4.24
BRAILA,2024,rata_somaj_femei,3.91
BRASOV,2024,rata_somaj_femei,2.58
BUZAU,2024,rata_somaj_femei,4.83
CALARASI,2024,rata_somaj_femei,5.87
CARA?-SEVERIN,2024,rata_somaj_femei,3.22
CLUJ,2024,rata_somaj_femei,1.48
CONSTANTA,2024,rata_somaj_femei,1.87
COVASNA,2024,rata_somaj_femei,4.5
DAMBOVITA,2024,rata_somaj_femei,3.69
DOLJ,2024,rata_somaj_femei,8.48
GALATI,2024,rata_somaj_femei,5.13
GIURGIU,2024,rata_somaj_femei,3.19
GORJ,2024,rata_somaj_femei,3.98
HARGHITA,2024,rata_somaj_femei,5.14
HUNEDOARA,2024,rata_somaj_femei,5.66
IALOMITA,2024,rata_somaj_femei,5.97
IASI,2024,rata_somaj_femei,3.51
ILFOV,2024,rata_somaj_femei,0.67
MARAMURES,2024,rata_somaj_femei,2.57
MEHEDINTI,2024,rata_somaj_femei,7.49
MUN. BUC.,2024,rata_somaj_femei,0.89
MURES,2024,rata_somaj_femei,3.43
NEAMT,2024,rata_somaj_femei,4.97
OLT,2024,rata_somaj_femei,5.59
PRAHOVA,2024,rata_somaj_femei,2.88
SALAJ,2024,rata_somaj_femei,5.48
SATU MARE,2024,rata_somaj_femei,4.74
SIBIU,2024,rata_somaj_femei,2.89
SUCEAVA,2024,rata_somaj_femei,6.03
TELEORMAN,2024,rata_somaj_femei,8.04
TIMIS,2024,rata_somaj_femei,1.22
TULCEA,2024,rata_somaj_femei,3.58
VALCEA,2024,rata_somaj_femei,2.21
VASLUI,2024,rata_somaj_femei,8.05
VRANCEA,2024,rata_somaj_femei,2.25
Total ,2024,rata_somaj_femei,3.22
ALBA,2019,rata_somaj_barbati,2.83
ARAD,2019,rata_somaj_barbati,2.83
ARGES,2019,rata_somaj_barbati,2.83
BACAU,2019,rata_somaj_barbati,2.83
BIHOR,2019,rata_somaj_barbati,2.83
BISTRITA NASAUD,2019,rata_somaj_barbati,2.83
BOTOSANI,2019,rata_somaj_barbati,2.83
BRAILA,2019,rata_somaj_barbati,2.83
BRASOV,2019,rata_somaj_barbati,2.83
BUZAU,2019,rata_somaj_barbati,2.83
CALARASI,2019,rata_somaj_barbati,2.83
CARA?-SEVERIN,2019,rata_somaj_barbati,2.83
CLUJ,2019,rata_somaj_barbati,2.83
CONSTANTA,2019,rata_somaj_barbati,2.83
COVASNA,2019,rata_somaj_barbati,2.83
DAMBOVITA,2019,rata_somaj_barbati,2.83
DOLJ,2019,rata_somaj_barbati,2.83
GALATI,2019,rata_somaj_barbati,2.83
GIURGIU,2019,rata_somaj_barbati,2.83
GORJ,2019,rata_somaj_barbati,2.83
HARGHITA,2019,rata_somaj_barbati,2.83
HUNEDOARA,2019,rata_somaj_barbati,2.83
IALOMITA,2019,rata_somaj_barbati,2.83
IASI,2019,rata_somaj_barbati,2.83
ILFOV,2019,rata_somaj_barbati,2.83
MARAMURES,2019,rata_somaj_barbati,2.83
MEHEDINTI,2019,rata_somaj_barbati,2.83
MUN. BUC.,2019,rata_somaj_barbati,2.83
MURES,2019,rata_somaj_barbati,2.83
NEAMT,2019,rata_somaj_barbati,2.83
OLT,2019,rata_somaj_barbati,2.83
PRAHOVA,2019,rata_somaj_barbati,2.83
SALAJ,2019,rata_somaj_barbati,2.83
SATU MARE,2019,rata_somaj_barbati,2.83
SIBIU,2019,rata_somaj_barbati,2.83
SUCEAVA,2019,rata_somaj_barbati,2.83
TELEORMAN,2019,rata_somaj_barbati,2.83
TIMIS,2019,rata_somaj_barbati,2.83
TULCEA,2019,rata_somaj_barbati,2.83
VALCEA,2019,rata_somaj_barbati,2.83
VASLUI,2019,rata_somaj_barbati,2.83
VRANCEA,2019,rata_somaj_barbati,2.83
Total,2019,rata_somaj_barbati,2.83
ALBA ,2020,rata_somaj_barbati,3.24
ARAD,2020,rata_somaj_barbati,1.67
ARGES,2020,rata_somaj_barbati,3.59
BACAU,2020,rata_somaj_barbati,5.24
BIHOR,2020,rata_somaj_barbati,1.45
BISTRITA NASAUD,2020,rata_somaj_barbati,2.35
BOTOSANI,2020,rata_somaj_barbati,2.89
BRAILA,2020,rata_somaj_barbati,3.88
BRASOV,2020,rata_somaj_barbati,2.15
BUZAU,2020,rata_somaj_barbati,7.71
CALARASI,2020,rata_somaj_barbati,3.89
CARA?-SEVERIN,2020,rata_somaj_barbati,3.47
CLUJ,2020,rata_somaj_barbati,1.32
CONSTANTA,2020,rata_somaj_barbati,1.87
COVASNA,2020,rata_somaj_barbati,4.18
DAMBOVITA,2020,rata_somaj_barbati,2.88
DOLJ,2020,rata_somaj_barbati,7.28
GALATI,2020,rata_somaj_barbati,6.24
GIURGIU,2020,rata_somaj_barbati,2.33
GORJ,2020,rata_somaj_barbati,3.48
HARGHITA,2020,rata_somaj_barbati,3.87
HUNEDOARA,2020,rata_somaj_barbati,3.04
IALOMITA,2020,rata_somaj_barbati,4.55
IASI,2020,rata_somaj_barbati,2.96
ILFOV,2020,rata_somaj_barbati,0.31
MARAMURES,2020,rata_somaj_barbati,2.48
MEHEDINTI,2020,rata_somaj_barbati,6.64
MUN. BUC.,2020,rata_somaj_barbati,1.19
MURES,2020,rata_somaj_barbati,2.34
NEAMT,2020,rata_somaj_barbati,4.19
OLT,2020,rata_somaj_barbati,5.74
PRAHOVA,2020,rata_somaj_barbati,2.44
SALAJ,2020,rata_somaj_barbati,4.78
SATU MARE,2020,rata_somaj_barbati,3.25
SIBIU,2020,rata_somaj_barbati,2.37
SUCEAVA,2020,rata_somaj_barbati,4.77
TELEORMAN,2020,rata_somaj_barbati,6.59
TIMIS,2020,rata_somaj_barbati,0.82
TULCEA,2020,rata_somaj_barbati,3.11
VALCEA,2020,rata_somaj_barbati,3.29
VASLUI,2020,rata_somaj_barbati,6.25
VRANCEA,2020,rata_somaj_barbati,4.07
Total ,2020,rata_somaj_barbati,3.08
ALBA ,2024,rata_somaj_barbati,2.95
ARAD,2024,rata_somaj_barbati,1.35
ARGES,2024,rata_somaj_barbati,3.46
BACAU,2024,rata_somaj_barbati,2.79
BIHOR,2024,rata_somaj_barbati,1.75
BISTRITA NASAUD,2024,rata_somaj_barbati,3.35
BOTOSANI,2024,rata_somaj_barbati,4.09
BRAILA,2024,rata_somaj_barbati,4.52
BRASOV,2024,rata_somaj_barbati,2.45
BUZAU,2024,rata_somaj_barbati,4.85
CALARASI,2024,rata_somaj_barbati,5.43
CARA?-SEVERIN,2024,rata_somaj_barbati,2.94
CLUJ,2024,rata_somaj_barbati,1.16
CONSTANTA,2024,rata_somaj_barbati,1.26
COVASNA,2024,rata_somaj_barbati,4.39
DAMBOVITA,2024,rata_somaj_barbati,2.66
DOLJ,2024,rata_somaj_barbati,7.97
GALATI,2024,rata_somaj_barbati,5.91
GIURGIU,2024,rata_somaj_barbati,2.49
GORJ,2024,rata_somaj_barbati,3.14
HARGHITA,2024,rata_somaj_barbati,3.99
HUNEDOARA,2024,rata_somaj_barbati,3.92
IALOMITA,2024,rata_somaj_barbati,5.1
IASI,2024,rata_somaj_barbati,3.7
ILFOV,2024,rata_somaj_barbati,0.27
MARAMURES,2024,rata_somaj_barbati,2.04
MEHEDINTI,2024,rata_somaj_barbati,8.09
MUN. BUC.,2024,rata_somaj_barbati,0.69
MURES,2024,rata_somaj_barbati,2.95
NEAMT,2024,rata_somaj_barbati,5.23
OLT,2024,rata_somaj_barbati,5.45
PRAHOVA,2024,rata_somaj_barbati,1.96
SALAJ,2024,rata_somaj_barbati,5.38
SATU MARE,2024,rata_somaj_barbati,4.31
SIBIU,2024,rata_somaj_barbati,2.56
SUCEAVA,2024,rata_somaj_barbati,6.16
TELEORMAN,2024,rata_somaj_barbati,9.77
TIMIS,2024,rata_somaj_barbati,0.79
TULCEA,2024,rata_somaj_barbati,3.24
VALCEA,2024,rata_somaj_barbati,1.39
VASLUI,2024,rata_somaj_barbati,9.8
VRANCEA,2024,rata_somaj_barbati,1.96
Total ,2024,rata_somaj_barbati,2.99
