judet,an,categorie_varsta,numar_someri
SUCEAVA,2019,25_29,667
TELEORMAN,2019,25_29,490
TIMIS,2019,25_29,136
TULCEA,2019,25_29,121
VALCEA,2019,25_29,237
VASLUI ,2019,25_29,306
VRANCEA,2019,25_29,247
TOTAL,2019,25_29,12451
ALBA,2020,25_29,329
ARAD,2020,25_29,226
ARGES,2020,25_29,585
BACAU,2020,25_29,495
BIHOR,2020,25_29,341
BISTRITA NASAUD,2020,25_29,214
BOTOSANI,2020,25_29,143
BRAILA,2020,25_29,208
BRASOV,2020,25_29,358
BUZAU,2020,25_29,457
CALARASI,2020,25_29,142
CARAS-SEVERIN,2020,25_29,205
CLUJ,2020,25_29,302
CONSTANTA,2020,25_29,292
COVASNA,2020,25_29,269
DAMBOVITA,2020,25_29,333
DOLJ,2020,25_29,999
GALATI,2020,25_29,381
GIURGIU,2020,25_29,76
GORJ,2020,25_29,233
HARGHITA,2020,25_29,354
HUNEDOARA,2020,25_29,360
IALOMITA,2020,25_29,189
IASI,2020,25_29,240
ILFOV,2020,25_29,33
MARAMURES,2020,25_29,388
MEHEDINTI,2020,25_29,422
MUNICIPIUL BUCURESTI,2020,25_29,1420
MURES,2020,25_29,344
NEAMT,2020,25_29,299
OLT,2020,25_29,320
PRAHOVA,2020,25_29,346
SALAJ,2020,25_29,311
SATU-MARE,2020,25_29,314
SIBIU,2020,25_29,309
SUCEAVA,2020,25_29,644
TELEORMAN,2020,25_29,419
TIMIS,2020,25_29,201
TULCEA,2020,25_29,193
VALCEA,2020,25_29,229
VASLUI ,2020,25_29,239
VRANCEA,2020,25_29,242
TOTAL,2020,25_29,14404
ALBA,2024,25_29,298
ARAD,2024,25_29,129
ARGES,2024,25_29,472
BACAU,2024,25_29,210
BIHOR,2024,25_29,304
BISTRITA NASAUD,2024,25_29,231
BOTOSANI,2024,25_29,178
BRAILA,2024,25_29,208
BRASOV,2024,25_29,470
BUZAU,2024,25_29,223
CALARASI,2024,25_29,201
CARAS-SEVERIN,2024,25_29,159
CLUJ,2024,25_29,296
CONSTANTA,2024,25_29,174
COVASNA,2024,25_29,240
DAMBOVITA,2024,25_29,255
DOLJ,2024,25_29,1193
GALATI,2024,25_29,401
GIURGIU,2024,25_29,85
GORJ,2024,25_29,169
HARGHITA,2024,25_29,411
HUNEDOARA,2024,25_29,532
IALOMITA,2024,25_29,210
IASI,2024,25_29,452
ILFOV,2024,25_29,44
MARAMURES,2024,25_29,215
MEHEDINTI,2024,25_29,270
MUNICIPIUL BUCURESTI,2024,25_29,688
MURES,2024,25_29,487
NEAMT,2024,25_29,364
OLT,2024,25_29,612
PRAHOVA,2024,25_29,261
SALAJ,2024,25_29,358
SATU-MARE,2024,25_29,428
SIBIU,2024,25_29,421
SUCEAVA,2024,25_29,794
TELEORMAN,2024,25_29,514
TIMIS,2024,25_29,132
TULCEA,2024,25_29,248
VALCEA,2024,25_29,125
VASLUI ,2024,25_29,291
VRANCEA,2024,25_29,109
TOTAL,2024,25_29,13862
ALBA,2019,30_39,909
ARAD,2019,30_39,307
ARGES,2019,30_39,1396
BACAU,2019,30_39,1731
BIHOR,2019,30_39,591
BISTRITA NASAUD,2019,30_39,562
BOTOSANI,2019,30_39,532
BRAILA,2019,30_39,814
BRASOV,2019,30_39,1145
BUZAU,2019,30_39,1918
CALARASI,2019,30_39,641
CARAS-SEVERIN,2019,30_39,476
CLUJ,2019,30_39,881
CONSTANTA,2019,30_39,895
COVASNA,2019,30_39,510
DAMBOVITA,2019,30_39,915
DOLJ,2019,30_39,3115
GALATI,2019,30_39,1560
GIURGIU,2019,30_39,249
GORJ,2019,30_39,725
HARGHITA,2019,30_39,1037
HUNEDOARA,2019,30_39,1117
IALOMITA,2019,30_39,760
IASI,2019,30_39,1179
ILFOV,2019,30_39,158
MARAMURES,2019,30_39,1047
MEHEDINTI,2019,30_39,1537
MUNICIPIUL BUCURESTI,2019,30_39,3760
MURES,2019,30_39,1354
NEAMT,2019,30_39,1237
OLT,2019,30_39,1280
PRAHOVA,2019,30_39,1038
SALAJ,2019,30_39,918
SATU-MARE,2019,30_39,819
SIBIU,2019,30_39,597
SUCEAVA,2019,30_39,1921
TELEORMAN,2019,30_39,1569
TIMIS,2019,30_39,496
TULCEA,2019,30_39,410
VALCEA,2019,30_39,821
VASLUI ,2019,30_39,1703
VRANCEA,2019,30_39,789
TOTAL,2019,30_39,45419
ALBA,2020,30_39,1073
ARAD,2020,30_39,702
ARGES,2020,30_39,1983
BACAU,2020,30_39,1622
BIHOR,2020,30_39,1033
BISTRITA NASAUD,2020,30_39,715
BOTOSANI,2020,30_39,558
BRAILA,2020,30_39,775
BRASOV,2020,30_39,1285
BUZAU,2020,30_39,1967
CALARASI,2020,30_39,717
CARAS-SEVERIN,2020,30_39,597
CLUJ,2020,30_39,1242
CONSTANTA,2020,30_39,1094
COVASNA,2020,30_39,792
DAMBOVITA,2020,30_39,1020
DOLJ,2020,30_39,3285
GALATI,2020,30_39,1600
GIURGIU,2020,30_39,312
GORJ,2020,30_39,827
HARGHITA,2020,30_39,1230
HUNEDOARA,2020,30_39,1008
IALOMITA,2020,30_39,668
IASI,2020,30_39,1284
ILFOV,2020,30_39,135
MARAMURES,2020,30_39,907
MEHEDINTI,2020,30_39,1401
